"X1","3195_S62_L001_R1_001_paired","3239_S69_L001_R1_001_paired","5002_S34_L001_R1_001_paired","5053_S11_L001_R1_001_paired","1104_com_L001_R1_001_paired","1105_S35_L001_R1_001_paired","1125_S87_L001_R1_001_paired","1135_S90_L001_R1_001_paired","1192_S19_L001_R1_001_paired","1216_com_L001_R1_001_paired","1219_S3_L001_R1_001_paired","1230_S4_L001_R1_001_paired","2072_com_L001_R1_001_paired","3098_S28_L001_R1_001_paired","3101_S5_L001_R1_001_paired","3103_S57_L001_R1_001_paired","5008_S79_L001_R1_001_paired","5215_S83_L001_R1_001_paired","1103_S34_L001_R1_001_paired","1145_S41_L001_R1_001_paired","1182_com_L001_R1_001_paired","1218_S47_L001_R1_001_paired","1236_S25_L001_R1_001_paired","1238_com_L001_R1_001_paired","1282_com_L001_R1_001_paired","3145_S60_L001_R1_001_paired","3151_S61_L001_R1_001_paired","3209_S66_L001_R1_001_paired","3211_S68_L001_R1_001_paired","4116_S78_L001_R1_001_paired","5003_com_L001_R1_001_paired","5049_S9_L001_R1_001_paired","5069_com_L001_R1_001_paired","1117_com_L001_R1_001_paired","1118_S89_L001_R1_001_paired","1119_S38_L001_R1_001_paired","1121_S88_L001_R1_001_paired","1124_com1_L001_R1_001_paired","1129_com_L001_R1_001_paired","1143_S16_L001_R1_001_paired","2051_S86_L001_R1_001_paired","2055_com_L001_R1_001_paired","2061_S29_L001_R1_001_paired","2068_S14_L001_R1_001_paired","2127_S20_L001_R1_001_paired","2141_com_L001_R1_001_paired","3130_S59_L001_R1_001_paired","3240_S71_L001_R1_001_paired","4073_S73_L001_R1_001_paired","5070_S81_L001_R1_001_paired","1137_S91_L001_R1_001_paired","1144_com_L001_R1_001_paired","1201_S43_L001_R1_001_paired","1210_S46_L001_R1_001_paired","1231_S26_L001_R1_001_paired","2125_com_L001_R1_001_paired","2137_S53_L001_R1_001_paired","2140_S54_L001_R1_001_paired","3205_S64_L001_R1_001_paired","3207_com_L001_R1_001_paired","3312_S38_L001_R1_001_paired","3325_S71_L001_R1_001_paired","4070_S72_L001_R1_001_paired","4082_S74_L001_R1_001_paired","4089_S75_L001_R1_001_paired","4113_S77_L001_R1_001_paired","1147_S17_L001_R1_001_paired","1187_S18_L001_R1_001_paired","1198_S92_L001_R1_001_paired","1206_S44_L001_R1_001_paired","1220_com_L001_R1_001_paired","2130_S23_L001_R1_001_paired","2134_S94_L001_R1_001_paired","2135_S52_L001_R1_001_paired","2144_S37_L001_R1_001_paired","3204_S63_L001_R1_001_paired","3210_S67_L001_R1_001_paired","3218_S2_L001_R1_001_paired","4114_S33_L001_R1_001_paired","5021_S24_L001_R1_001_paired","1107_com_L001_R1_001_paired","1112_S36_L001_R1_001_paired","1139_S40_L001_R1_001_paired","1197_S42_L001_R1_001_paired","1202_S93_L001_R1_001_paired","1275_com_L001_R1_001_paired","2131_S51_L001_R1_001_paired","3102_S56_L001_R1_001_paired","3117_S58_L001_R1_001_paired","3128_S15_L001_R1_001_paired","3200_S21_L001_R1_001_paired","4112_com_L001_R1_001_paired","5214_S82_L001_R1_001_paired","1113_S85_L001_R1_001_paired","2057_S49_L001_R1_001_paired","5030_S8_L001_R1_001_paired","5044_S10_L001_R1_001_paired"
"Acinetobacter",3191,0,53,0,0,0,313,0,0,0,797,0,0,0,0,0,0,0,0,253,0,0,0,0,0,19,0,0,0,0,0,0,0,1571,0,1496,2823,0,0,0,0,0,0,0,0,2299,0,0,148,0,0,0,0,0,0,0,0,71,0,0,0,10566,0,53799,0,41,0,0,0,0,0,0,0,24,4765,0,0,0,0,1144,0,0,0,208910,435,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",2140,4169,60,1607,1874,56,0,9588,154,17575,0,6200,5,5208,170,132,32,4007,46,450,7437,0,4407,0,8,1764,2860,0,463,63612,353,0,0,51,32704,4417,236,19,5736,248,277,5161,2883,1675,0,1071,32784,1073,3136,1483,2637,4334,665,1862,3761,0,0,1596,396,3397,596,3185,900,20071,1579,13414,0,0,0,11195,3153,0,0,29542,0,85663,1608,1233,5650,565,0,10297,529,0,0,0,0,663,10987,624,443,4334,8656,0,2371,4683,512
"Dolosigranulum",1653,9065,0,132,22,0,0,19073,0,0,0,2554,0,3991,2,0,0,0,0,85,0,0,13059,30,0,173,19,0,0,0,3,0,0,0,0,671,0,0,4662,1922,0,0,223,819,4,8053,1,275,3386,868,0,9746,753,0,4420,0,0,7467,35,14027,0,2937,0,11634,403,0,0,0,0,0,0,0,0,0,0,658,69,1123,0,480,0,7323,112,0,0,0,0,0,2991,28,1333,114,2207,0,1493,0,48
"Enterobacter",3299,26550,6765,4950,912,62678,3259,120,743,180,0,501,0,158,19,20677,332,0,2791,364,2908,18293,0,0,7719,7196,0,37699,1534,76,0,27,66044,8720,3959,17958,54389,669,10022,37,78,3089,562,2908,15,31151,1090,578,6053,0,27102,0,457,973,30,27903,0,467,25977,1898,16740,80012,0,9146,284,1165,0,25749,0,232,1805,243,24018,286,0,142,6620,81,39,7443,22,185,58,76388,3597,0,30059,19209,571,0,0,21776,0,47335,817,3019,3278
"Gemella",14,13,219,2796,752,2,248,117,702,331,0,0,4475,17,1006,38,0,149,728,46,320,1,27,328,16,125,125,0,50,375,3395,157,20,15,963,2,0,135,136,246,209,32154,104,1180,18,1323,0,550,22,83,155,208,73,18,0,1387,1996,450,5263,1152,1199,0,44,0,3804,1238,830,0,8020,47,5923,36,1445,22192,73,0,0,226,52,1000,0,222,86,81,5115,39966,24,24,0,173,119,7200,3188,0,3173,1098,530
"Haemophilus",96476,0,0,931,89680,79,765,25271,2523,2126,0,16234,1448,0,9927,0,38968,0,1231,107861,866,0,2214,111978,177,29415,646,0,2739,25,2450,83,0,99222,346,24593,0,35,423,10698,613,1059,535,3414,112,23367,721,0,36685,6385,24296,415,47993,77,0,3578,1191,70321,62,6439,39,99,42094,0,49271,69681,0,0,0,29,64979,0,0,25514,3,196,0,17115,2718,161,0,65,0,0,316,10050,17,203,773,16,5582,98248,18355,1216,96471,0,0
"Moraxella",0,0,0,0,89246,0,0,38676,0,0,0,572,0,55,2479,0,32609,10673,6942,1265,2527,0,16550,127,0,0,26437,0,0,24,14127,0,0,46,0,15388,0,1463,51738,12436,0,0,4746,326,321,10274,458,8198,32253,16858,3520,0,6716,0,0,0,0,23554,37566,54218,0,3086,0,18,0,0,0,0,0,31,0,0,0,0,0,9444,0,1811,8418,0,3839,80785,24755,0,0,86,62079,4427,41189,0,10999,14262,208,0,43529,0,1
"Porphyromonas",0,0,0,466,1082,0,0,28,580,847,0,14,185,0,0,0,0,1227,1095,0,0,0,0,0,0,1676,407,0,0,0,2156,0,2,0,0,125,0,8254,161,113,0,9817,38,1557,0,3919,0,0,49,12744,0,0,0,9,0,3657,16786,3145,0,7674,0,0,2473,0,855,0,0,0,0,24,37298,0,0,36739,0,0,0,0,0,9,0,0,0,0,0,1091,632,886,10,0,89,0,1712,0,2089,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,31117,0,0,0,0,0,0,0,0,0,0,3047,0,0,0,0,0,0,0,0,0,0,0,0,319,0,29387,111276,0,0,0,0,0,0,0,7223,0,0,5305,0,0,0,0,0,0,0,0,0,441,0,0,945,0,0,8358,0,533,0,0,0,0,0,0,0,0,0,2353,0,0,0,0,0,0,1761,4268,0,0,0,0,0,0,0,0,0,0,0,19874
"Serratia",0,0,96,0,81,2766,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17697,0,0,0,0,0,4905,0,0,58,1,9,0,0,0,0,0,544,0,0,0,50,0,0,0,0,2,0,0,0,0,0,5638,0,0,0,0,892,0,0,0,0,0,0,0,11275,2,2,0,0,18196,7,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
