"","3195_S62_L001_R1_001_paired","3239_S69_L001_R1_001_paired","5002_S34_L001_R1_001_paired","5053_S11_L001_R1_001_paired","1104_com_L001_R1_001_paired","1105_S35_L001_R1_001_paired","1125_S87_L001_R1_001_paired","1135_S90_L001_R1_001_paired","1192_S19_L001_R1_001_paired","1216_com_L001_R1_001_paired","1219_S3_L001_R1_001_paired","1230_S4_L001_R1_001_paired","2072_com_L001_R1_001_paired","3098_S28_L001_R1_001_paired","3101_S5_L001_R1_001_paired","3103_S57_L001_R1_001_paired","5008_S79_L001_R1_001_paired","5215_S83_L001_R1_001_paired","1103_S34_L001_R1_001_paired","1145_S41_L001_R1_001_paired","1182_com_L001_R1_001_paired","1218_S47_L001_R1_001_paired","1236_S25_L001_R1_001_paired","1238_com_L001_R1_001_paired","1282_com_L001_R1_001_paired","3145_S60_L001_R1_001_paired","3151_S61_L001_R1_001_paired","3209_S66_L001_R1_001_paired","3211_S68_L001_R1_001_paired","4116_S78_L001_R1_001_paired","5003_com_L001_R1_001_paired","5049_S9_L001_R1_001_paired","5069_com_L001_R1_001_paired","1117_com_L001_R1_001_paired","1118_S89_L001_R1_001_paired","1119_S38_L001_R1_001_paired","1121_S88_L001_R1_001_paired","1124_com1_L001_R1_001_paired","1129_com_L001_R1_001_paired","1143_S16_L001_R1_001_paired","2051_S86_L001_R1_001_paired","2055_com_L001_R1_001_paired","2061_S29_L001_R1_001_paired","2068_S14_L001_R1_001_paired","2127_S20_L001_R1_001_paired","2141_com_L001_R1_001_paired","3130_S59_L001_R1_001_paired","3240_S71_L001_R1_001_paired","4073_S73_L001_R1_001_paired","5070_S81_L001_R1_001_paired","1137_S91_L001_R1_001_paired","1144_com_L001_R1_001_paired","1201_S43_L001_R1_001_paired","1210_S46_L001_R1_001_paired","1231_S26_L001_R1_001_paired","2125_com_L001_R1_001_paired","2137_S53_L001_R1_001_paired","2140_S54_L001_R1_001_paired","3205_S64_L001_R1_001_paired","3207_com_L001_R1_001_paired","3312_S38_L001_R1_001_paired","3325_S71_L001_R1_001_paired","4070_S72_L001_R1_001_paired","4082_S74_L001_R1_001_paired","4089_S75_L001_R1_001_paired","4113_S77_L001_R1_001_paired","1147_S17_L001_R1_001_paired","1187_S18_L001_R1_001_paired","1198_S92_L001_R1_001_paired","1206_S44_L001_R1_001_paired","1220_com_L001_R1_001_paired","2130_S23_L001_R1_001_paired","2134_S94_L001_R1_001_paired","2135_S52_L001_R1_001_paired","2144_S37_L001_R1_001_paired","3204_S63_L001_R1_001_paired","3210_S67_L001_R1_001_paired","3218_S2_L001_R1_001_paired","4114_S33_L001_R1_001_paired","5021_S24_L001_R1_001_paired","1107_com_L001_R1_001_paired","1112_S36_L001_R1_001_paired","1139_S40_L001_R1_001_paired","1197_S42_L001_R1_001_paired","1202_S93_L001_R1_001_paired","1275_com_L001_R1_001_paired","2131_S51_L001_R1_001_paired","3102_S56_L001_R1_001_paired","3117_S58_L001_R1_001_paired","3128_S15_L001_R1_001_paired","3200_S21_L001_R1_001_paired","4112_com_L001_R1_001_paired","5214_S82_L001_R1_001_paired","1113_S85_L001_R1_001_paired","2057_S49_L001_R1_001_paired","5030_S8_L001_R1_001_paired","5044_S10_L001_R1_001_paired"
"Acinetobacter",0.0266848412373203,0,0.00198041999850534,0,0,0,0.00311068266067719,0,0,0,0.0215172786177106,0,0,0,0,0,0,0,0,0.00228921985558913,0,0,0,0,0,0.000316904344925361,0,0,0,0,0,0,0,0.0133765879908722,0,0.0146584751658387,0.026402671131022,0,0,0,0,0,0,0,0,0.0195148037484721,0,0,0.0014071785120038,0,0,0,0,0,0,0,0,0.0006411645715937,0,0,0,0.104271108830379,0,0.566245658351752,0,0.000349423876730074,0,0,0,0,0,0,0,0.000123949655781477,0.111142210715369,0,0,0,0,0.0375155768347872,0,0,0,0.711362181451668,0.00914364989279859,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",0.0178958195699986,0.041033868443587,0.00224198490396831,0.0522822656732928,0.00674326303403657,0.000809388911371914,0,0.0769144379021001,0.00287361683864828,0.160757733750434,0,0.174074178061038,4.91207387759112e-05,0.120271580989331,0.00354646917701054,0.00151774729507537,0.000342851020517491,0.0700328579418344,0.000193116650853492,0.00407173492100834,0.0589139303679645,0,0.101614018907079,0,7.84883150520966e-05,0.0294220665499124,0.0303081683692934,0,0.00624064913533987,0.825508058864751,0.00644289912208655,0,0,0.000434249514662307,0.303379437657121,0.0432797358338967,0.0022072371189944,0.00013629157789781,0.048497556521298,0.0069465841292961,0.00706939233851415,0.025822688541651,0.0670449524429664,0.0434489377707452,0,0.00909106342523428,0.480267205766019,0.0266524255445987,0.0298169717138103,0.0173549753659992,0.0271589680210104,0.0556411441483079,0.00749371767277808,0.194749503190043,0.0893009782505461,0,0,0.0144126571304725,0.00377383663861702,0.0238278948402121,0.017412644618441,0.031431334622824,0.0122959218525856,0.211251447216083,0.0164843195389819,0.114321265425786,0,0,0,0.102977564780661,0.0208241144963048,0,0,0.152571697129016,0,0.679670887682884,0.0194562416058659,0.0345697703759778,0.23794483049063,0.0185282350626353,0,0.0932462781178687,0.00505702295257488,0,0,0,0,0.00657327265697035,0.107196518820614,0.0147496808963268,0.015263230429989,0.0249572433014506,0.100353602689699,0,0.0096735236758574,0.101828698166953,0.0151117145302677
"Dolosigranulum",0.0138232662379475,0.0892233191271568,0,0.00429449848716531,7.91631732917847e-05,0,0,0.153002615155064,0,0,0,0.0717073307690148,0,0.0921666435730451,4.17231667883592e-05,0,0,0,0,0.000769105485079354,0,0,0.301106755821997,0.000238646397632628,0,0.00288549745642565,0.000201347971684117,0,0,0,5.47555166182993e-05,0,0,0,0,0.00657475724350118,0,0,0.0394169470889629,0.0538360270020448,0,0,0.0051859259086998,0.0212445850950689,0.000114217183975329,0.0683569876409072,1.46494389264891e-05,0.00683077075933332,0.0321939624435465,0.0101578682519807,0,0.125121963744672,0.00848536753022842,0,0.104948238199259,0,0,0.0674306458604248,0.000333546167554535,0.0983908981229483,0,0.0289839339991316,0,0.122450268392801,0.00420720758341337,0,0,0,0,0,0,0,0,0,0,0.00522073058491225,0.000834876039057679,0.0314856870496537,0,0.0157408014691415,0,0.06631470279277,0.00107067404666992,0,0,0,0,0,0.0291821960309872,0.000661844655604406,0.0459275082690187,0.000656466482779272,0.0255869224972465,0,0.00609134156392033,0,0.0014167232372126
"Enterobacter",0.0275879947483296,0.261321469699505,0.252783797922427,0.161043693268699,0.00328167336555035,0.905908539053015,0.0323888651474344,0.000962633765983731,0.0138642682539979,0.00164645189616377,0,0.0140663166465452,0,0.00364879220359337,0.000396370084489413,0.237745915305102,0.00355707933786897,0,0.0117171428811325,0.00329358113610453,0.0230364003643997,0.467935436011562,0,0,0.0757314129858917,0.120023350846468,0,0.385423056475688,0.0206763623620116,0.000986270082275688,0,0.00080087799958473,0.606358853827156,0.0742481523108886,0.0367257581239158,0.175960492665863,0.508683981631298,0.00479889819019131,0.0847354448145831,0.00103638553541918,0.00199065921445525,0.0154555870771478,0.0130694635008488,0.0754325439028819,0.000428314439907484,0.264421771017248,0.0159678884298731,0.0143570381777988,0.0575516995483718,0,0.279128688397961,0,0.00514981800971366,0.101767597531639,0.000712318358818501,0.423626398651829,0,0.00421723739344025,0.247557965558976,0.0133133189304453,0.489073273343462,0.789602494769668,0,0.0962635512051363,0.0029648807783856,0.00992875161928138,0,0.882903579755863,0,0.0021340594041191,0.0119211946291881,0.00609985691693652,0.26701797685355,0.00147706673139593,0,0.0011266622234917,0.0800997011385773,0.00227100681302044,0.0016424510423247,0.244080802780875,0.00114810562571757,0.00167529974281885,0.000554456202739778,0.26010978084692,0.0756085256652794,0,0.256277122711888,0.190446447161001,0.00557105781801862,0,0,0.125396615166679,0,0.702289283541787,0.00333330613377288,0.06564613277088,0.0967503910746436
"Gemella",0.000117075455130832,0.000127954015295426,0.00818324489948434,0.0909652861372287,0.00270594119615555,2.89067468347112e-05,0.00246469424871548,0.000938567921834138,0.0130992144203318,0.00302764209794559,0,0,0.0439630612044405,0.000392591566209413,0.0209867528945447,0.000436927251612606,0,0.00260416666666667,0.00305628090915961,0.000416221791925297,0.002534954648077,2.55800271148287e-05,0.000622550149873184,0.00260920061411673,0.000156976630104193,0.0020848970060879,0.00132465770844814,0,0.000673936191721368,0.00486646422175504,0.061964992973042,0.00465695725684454,0.000183622692092289,0.000127720445488914,0.00893329251662817,1.95968919329394e-05,0,0.00096838752716865,0.00114987233035156,0.00689056328954371,0.00533394584386086,0.160880202939013,0.00241854840585103,0.0306088039220772,0.000513977327888981,0.0112301371723482,0,0.0136615415186666,0.000209175184216782,0.000971316895062667,0.00159637468458726,0.00267036409387357,0.000822618631748572,0.00188264825855036,0,0.0210575857409629,0.0164093457636594,0.00406371911573472,0.0501558137097005,0.00808058135293623,0.0350298001636087,0,0.000601133957237516,0,0.039712698876686,0.0105508965705325,0.0359494109494109,0,0.0772639691714836,0.000432330999972404,0.039118690187635,0.000903682506212817,0.0160646588622442,0.114612115045939,0.00170270333310009,0,0,0.00633638937953851,0.0021899347230996,0.0327933363940447,0,0.00201035969138262,0.000822124714407258,0.00027581416254648,0.107516710808425,0.152213157834602,0.000204619280251682,0.000237946521519289,0,0.00408925447927008,0.00410005512679162,0.0414610410176382,0.0369601762216683,0,0.0129456307986063,0.0238752745221683,0.0156429857442224
"Haemophilus",0.806783686371581,0,0,0.0302892279662947,0.322697880945784,0.00114181649997109,0.00760278669462637,0.202722649168124,0.0470788005448676,0.0194464262846898,0,0.455793581716596,0.0142253659495039,0,0.207092938354021,0,0.417506830235174,0,0.00516796950436192,0.975958667366402,0.00686022101635838,0,0.0510491122896011,0.890771543803546,0.00173655397052764,0.490617963472604,0.00684583103725997,0,0.0369182245824965,0.000324430948117003,0.0447170052382778,0.00246195829501973,0,0.844845202820067,0.00320967726973349,0.24097318165339,0,0.00025106343296965,0.00357644114513756,0.299655471835523,0.0156445397238598,0.00529862956124946,0.0124415711262529,0.0885580140592981,0.00319808115130921,0.198348159717506,0.0105622454659987,0,0.348799619681483,0.0747211852406642,0.250229157011175,0.00532788989883428,0.540821041006975,0.00805355088379877,0,0.0543215874413591,0.00979134809845607,0.635032870972403,0.000590853211096605,0.0451656799753093,0.00113941802033423,0.00097698653929657,0.575093927180818,0,0.51437549588675,0.593858662303129,0,0,0,0.000266757425514888,0.429156402110811,0,0,0.131768813233692,6.99741095794556e-05,0.00155511123805897,0,0.479855328454874,0.114466203411244,0.0052797271594412,0,0.000588618828557974,0,0,0.00664228360028587,0.0382760905829391,0.000144938656844941,0.00201263099451732,0.00754190489199368,0.000378196946059661,0.192323594266814,0.56575893859735,0.212799258014028,0.0180412753519977,0.393595319499637,0,0
"Moraxella",0,0,0,0,0.321136207436301,0,0,0.310256862776557,0,0,0,0.0160597467501474,0,0.00127014918479516,0.0517158652341713,0,0.349375904001714,0.186538730425056,0.0291438215266291,0.0114460992779457,0.0200182199865331,0,0.381600184459304,0.00101026974997812,0,0,0.280159806705947,0,0,0.000311453710192323,0.257843727755571,0,0,0.000391676032832669,0,0.150778486532036,0,0.0104944514981314,0.437441872262712,0.348337581580348,0,0,0.110369526290086,0.00845633057508236,0.00916592901402016,0.0872096971343203,0.00670944302833201,0.203631486127326,0.306660328024721,0.197282653216463,0.036253154127401,0,0.0756809141208686,0,0,0,0,0.212704089004479,0.357999866581533,0.380306388709632,0,0.0304543480835274,0,0.000189453741711399,0,0,0,0,0,0.000285154489343501,0,0,0,0,0,0.0749309721032086,0,0.0507752263997533,0.354516740366393,0,0.200344431687715,0.731562647154707,0.236647643083159,0,0,0.000327536695535599,0.529273345781006,0.0438912187819121,0.401867426385935,0,0.37896223814774,0.0821274120824384,0.00241145440844009,0,0.177595450057527,0,2.95150674419291e-05
"Porphyromonas",0,0,0,0.0151608810228715,0.00389338879553232,0,0,0.000224614545396204,0.0108227127689351,0.00774747086694839,0,0.000393070724653957,0.00181746733470871,0,0,0,0,0.0214450503355705,0.00459701592792551,0,0,0,0,0,0,0.0279542990576266,0.00431308549870713,0,0,0,0.0393509646096844,0,1.83622692092289e-05,0,0,0.00122480574580871,0,0.0592079307351855,0.00136124592048971,0.00316517744600992,0,0.0491186462726968,0.000883700379060952,0.0403880573785375,0,0.033265992122776,0,0,0.000465890183028286,0.149138102538297,0,0,0,0.00094132412927518,0,0.0555209740841393,0.137999638270935,0.0284008813755238,0,0.053828455991695,0,0,0.0337864608238268,0,0.00892596149830877,0,0,0,0,0.000220764765943355,0.246336131456763,0,0,0.189741100156486,0,0,0,0,0,0.000295140027546403,0,0,0,0,0,0.00415514575382951,0.00538830771329428,0.0087841924194204,9.75666868304486e-05,0,0.00306642778390298,0,0.0198481247463915,0,0.00852298226860654,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0.840091792656588,0,0,0,0,0,0,0,0,0,0,0.0779423426188832,0,0,0,0,0,0,0,0,0,0,0,0,0.00295921112440746,0,0.274847784813086,0.798209559060879,0,0,0,0,0,0,0,0.0613116256960478,0,0,0.0504397432850012,0,0,0,0,0,0,0,0,0,0.00420268171118714,0,0,0.00932578060237635,0,0,0.0872551885413622,0,0.0230855855855856,0,0,0,0,0,0,0,0,0,0.0284704828971409,0,0,0,0,0,0,0.00599640420054754,0.0897128683734813,0,0,0,0,0,0,0,0,0,0,0,0.586582450340899
"Serratia",0,0,0.0035871758463493,0,0.000291464410756116,0.0399780308724056,0.000149074248914243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452689739851124,0,0,0,0,0,0.0501472211998528,0,0,0.00105860665462045,2.96621481327678e-05,8.26302114415299e-05,0,0,0,0,0,0.00459948932140623,0,0,0,0.00116276365665915,0,0,0,0,4.96783327951514e-05,0,0,0,0,0,0.589687271205941,0,0,0,0,0.00850066232738986,0,0,0,0,0,0,0,0.488348925848926,6.85776985324372e-05,1.92678227360308e-05,0,0,0.456761302306901,7.78218768413212e-05,0,0,0,0,0,0,0.00485341378631862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112157256279331
