"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Acinetobacter",68,70,709,3528,395,212,1548,75,1745,2467,12,1560,0,151,679,150,113,71,250,205,319,0,0,3560,208714,121,25,2169,246,162,28,191,1071,782,0,57,19,36,4,24,250,30,158,210,31,77,26,4283,63,0,5,40,59,233,51,69,2061,4784,77,0,22,44,21,15,112,2983,64,3196,51,367,0,35,249,0,195,18,2533,39,16,10210,79,61,54111,54,132,91,36,388,50,53,0,1087,23,1544,55,59,120,102,0,113
"Aeromonas",0,21,0,0,0,0,0,0,2096,0,0,6,0,45,217,13,1229,35,0,0,46,0,516,0,0,0,0,0,0,59,0,13,0,0,0,0,4,23,0,38,1179,4,0,95,0,0,0,133,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,96
"Alloprevotella",27,409,0,0,0,0,0,0,0,0,3901,0,0,0,0,0,49,0,0,0,0,0,180,0,0,0,0,0,0,0,0,12,0,0,28001,0,0,0,0,0,0,0,5599,0,281,6286,0,2266,4402,0,0,0,0,0,0,907,3168,0,0,161,1008,0,0,0,0,3281,0,0,0,0,0,0,0,0,131,0,0,0,2,16,8597,0,20,0,0,656,0,0,0,1351,0,0,40,0,0,0,0,628,599,0
"Bacillus",0,0,0,3551,5,0,0,0,2,0,0,3,0,0,9072,0,0,0,0,0,8,12,3,0,0,0,30,10,22,0,0,0,0,0,0,0,32,2,0,0,0,20,0,0,0,0,0,17,0,0,0,0,0,0,50,0,0,1,17,4,9,0,19,0,3003,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,7,0,0,6,0,0,0,1,0,4,2,0,0,0,4,1,2,8
"Bifidobacterium",0,1344,0,0,30,190,1064,0,47,3048,0,0,154,7,0,0,87,0,0,0,12128,0,87,0,0,0,75,3930,19,0,0,345,0,41,0,0,0,31,45,0,0,2226,199,24,467,0,0,21,0,0,0,0,0,0,3456,0,3544,469,56,76,362,0,59,0,0,27,0,2255,29,0,1278,126,0,0,2150,0,0,0,0,0,12,385,0,0,0,83,0,174,18,31,0,0,42,0,0,0,0,275,7,0
"Citrobacter",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,60399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Clostridium",0,0,0,0,17,0,0,0,0,0,2039,11769,0,0,1,0,4,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,31,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2
"Corynebacterium",4472,1941,69,0,10365,3,7319,33673,4485,237,23,1141,5794,9754,2717,540,263,14504,474,16978,7775,0,164,15892,30743,372,763,3654,11728,1914,1905,18162,48,187,3392,6359,5436,4919,14,13388,12,300,5567,2424,2959,1761,31,696,3239,9,2432,22,10029,30356,408,1654,1089,2525,5312,190,704,144,11200,2997,33633,1843,2932,2159,503,91793,391,3466,1759,3905,500,1279,6196,1296,1366,3203,960,3214,20852,1650,4422,13738,5879,65049,1176,373,4932,604,4830,567,464,1730,86,1515,8924,4415
"Dolosigranulum",0,16239,0,0,7286,0,0,0,1351,0,0,0,4586,19104,0,208,3857,9691,171,0,1,0,0,0,0,0,729,0,0,0,0,16677,0,0,0,5122,4443,13140,44,0,0,0,0,1478,211,817,0,4816,0,32,0,0,0,0,0,7490,8086,0,3983,495,0,0,2935,0,1268,335,29,1660,1345,652,62,13980,0,129,14,1118,9044,538,0,5865,0,3362,11689,790,214,0,0,0,0,1977,0,962,0,97,0,121,0,841,2207,0
"Enterobacter",3021,0,0,0,8,4,0,0,20946,0,0,423,0,0,29485,73,0,0,0,0,2,0,865,60,0,0,0,37,0,1248,0,0,0,0,0,506,0,35,0,0,0,110,0,702,0,3302,0,0,28895,0,0,51,25778,0,0,0,72,0,0,0,7,0,599,0,806,106,0,3131,13,67,46,1918,36,3552,3,0,7,0,27,410,0,6154,10087,216,75,34,8,0,5910,0,0,9,0,0,0,8,68304,0,0,0
"Escherichia",0,1212,0,7505,0,3204,0,0,14672,7260,11300,60336,0,83,26,0,49,0,0,0,41400,0,0,0,293,27,4735,7217,500,0,0,0,0,569,966,0,0,0,130,117,105510,45,8,364,65,0,44235,0,0,0,0,0,14,0,14,0,1746,12,68,52,29883,25581,113,8162,12,0,262,1555,464,395,0,0,0,54191,41870,271,0,1,0,0,42,2293,0,0,1133,0,50,6,14892,4,552,16794,2027,0,32715,0,15953,47,47,0
