"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Acinetobacter_sp.",68,0,709,1671,338,212,1548,0,1220,2467,0,204,0,0,203,75,1,71,250,205,256,0,0,3559,208714,121,25,246,246,90,28,191,1014,782,0,35,7,0,4,24,142,30,0,167,31,8,24,4230,49,0,5,40,59,152,51,41,2061,4784,77,0,0,24,21,4,112,2983,64,3196,0,367,0,35,249,0,0,18,2533,39,15,10203,72,61,54104,54,132,64,0,388,50,28,0,1086,23,2,55,44,0,63,0,84
"Corynebacterium_accolens",0,1922,14,0,1587,0,0,33649,2329,237,0,0,4420,3440,2688,43,0,0,437,0,0,0,32,0,0,1,0,0,11618,1914,1905,18162,0,0,3382,1740,0,12,14,0,0,284,0,0,2129,816,0,506,0,0,0,0,0,30345,0,902,6,0,0,0,0,138,8099,0,33392,873,873,2146,0,66463,391,519,0,0,0,320,0,0,0,0,304,268,6112,0,4422,972,5879,63086,1,0,0,113,1303,315,0,577,0,0,8898,4155
"Corynebacterium_pseudodiphtheriticum",0,19,53,0,8758,0,0,0,2153,0,23,0,1374,6314,0,497,263,6136,27,0,7775,0,132,0,0,0,749,0,0,0,0,0,0,0,0,4619,4705,4906,0,0,12,0,5567,2415,830,945,0,190,0,0,0,0,0,0,0,752,1081,0,5312,190,698,0,3090,790,195,962,2059,13,489,21604,0,2947,0,2052,490,958,5019,1264,719,3203,656,2909,14453,1650,0,12752,0,1938,53,370,25,485,3518,225,0,1112,0,1515,0,0
"Corynebacterium_sp.",4472,0,0,0,1,0,7319,0,0,0,0,458,0,0,22,0,0,8368,7,16978,0,0,0,15892,30738,370,2,3649,110,0,0,0,48,187,8,0,729,1,0,13388,0,5,0,9,0,0,31,0,3239,0,2411,22,2279,0,408,0,0,2524,0,0,6,0,6,2207,46,0,0,0,2,3726,0,0,1759,1853,10,1,1164,32,647,0,0,10,280,0,0,3,0,25,1116,3,4860,1,7,27,39,39,19,0,23,258
"Dolosigranulum_pigrum",0,16239,0,0,7286,0,0,0,1351,0,0,0,4586,19104,0,208,3857,9691,171,0,1,0,0,0,0,0,729,0,0,0,0,16677,0,0,0,5122,4443,13140,44,0,0,0,0,1478,211,817,0,4816,0,32,0,0,0,0,0,7490,8086,0,3983,495,0,0,2935,0,1268,335,29,1660,1345,652,62,13980,0,129,14,1118,9044,538,0,5865,0,3362,11689,790,214,0,0,0,0,1977,0,962,0,97,0,121,0,841,2207,0
"Enterobacter_hormaechei",3021,0,0,0,8,4,0,0,20939,0,0,423,0,0,29484,73,0,0,0,0,2,0,865,60,0,0,0,37,0,1248,0,0,0,0,0,506,0,35,0,0,0,110,0,702,0,3302,0,0,28895,0,0,51,25778,0,0,0,0,0,0,0,7,0,599,0,806,0,0,3131,0,67,46,1918,36,3552,0,0,7,0,27,410,0,6154,10087,216,50,34,8,0,5910,0,0,9,0,0,0,8,68302,0,0,0
"Escherichia_coli",0,1212,0,7505,0,3204,0,0,14672,7260,11300,60336,0,83,26,0,49,0,0,0,41400,0,0,0,293,27,4735,7217,500,0,0,0,0,569,966,0,0,0,130,117,105510,45,8,364,65,0,44235,0,0,0,0,0,14,0,14,0,1746,12,68,52,29883,25581,113,8162,12,0,262,1555,464,395,0,0,0,54191,41870,271,0,1,0,0,42,2293,0,0,1133,0,50,6,14892,4,552,16794,2027,0,32715,0,15953,47,47,0
"Gemella_haemolysans",973,753,17,0,201,0,0,992,0,0,139,265,269,123,131,55,254,238,143,851,224,0,751,26502,80,8132,84,5171,71,0,0,338,43,23,6325,1210,0,25,341,40831,53,272,32821,3385,117,1309,4369,1685,1638,0,2845,38,1458,22680,2139,458,1420,90,8,1034,338,12,0,177,0,193,76,138,122,0,5322,1158,0,0,3819,240,0,549,1221,0,92,29,0,3966,7365,1281,57,375,203,3525,0,1013,1209,533,161,2859,1,5748,3564,163
"Haemophilus_influenzae",1116,90603,41,0,35,1086,99884,328,24855,0,11,631,374,25448,23654,0,10548,400,108533,0,759,0,2544,0,40,0,48530,173,21,133593,24,2144,0,9,65642,16342,0,2230,112928,10136,82,620,999,97756,541,3263,1241,46466,3292,115,0,80,0,25775,1201,71001,23118,5,0,10008,112,0,763,0,693,29858,647,97234,5813,173,45,6482,0,0,1950,17306,0,0,22,42,42455,36993,0,49815,99326,70204,2754,23,0,2482,39521,111,0,0,37,906,0,6434,18486,0
"Klebsiella_pneumoniae",0,487,67628,1604,149,51816,9432,4338,28,60125,0,0,10963,96,25,0,0,0,108,0,0,28486,0,83200,86166,0,1,6,224,0,93986,236,19651,128,1966,0,54,0,0,120,154,0,3630,0,620,17,0,21,0,13,21,31959,0,349,39,289,34796,0,206,7,18833,20739,0,0,0,7983,0,0,0,0,27735,0,41738,0,0,0,29076,632,17897,86427,0,0,2,0,23411,1087,0,75,8,0,222,6531,3301,3566,0,5532,1,0,0,0
"Moraxella_catarrhalis",0,92134,0,0,83919,0,4,0,17540,0,1,0,54732,0,3783,25448,12791,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17070,0,0,0,0,0,0,0,0,0,28398,0,0,0,86,0,0,0,0,4,0,0,0,0,0,0,0,487,0,0,0,0,9781,0,0,0,0,0,0,0,8433,0,0,0,8,0,0,0,0,0,0,0,0,33809,0,0,0,0,0,0,0,0,0
"Moraxella_sp.",7206,0,9,6403,84,0,68,0,1,0,1486,0,0,39863,0,5,0,0,1292,0,2619,0,13,102,0,5,7116,0,41,87601,0,28985,15,0,0,611,0,2,165,103,0,0,0,47984,4893,394,0,41,0,390,0,64123,7,1,0,24217,11399,0,146,2576,4696,0,42670,0,0,0,27070,0,11877,0,39237,55714,4,0,0,1909,5,1,0,3257,0,34246,1404,0,14795,0,8774,20,0,14631,12,0,0,0,0,0,0,17433,244,11151
"Other",56228,26351,1071,27959,193963,5061,1582,598,23511,39309,32760,16536,801,17706,10670,517,5027,1743,555,12228,73601,5396,4751,4866,591,727,13264,66931,529,1634,18983,6243,68281,406,130474,1804,4259,2635,18859,7265,1734,82223,18580,15710,6855,17802,1288,10515,27021,9201,21147,6731,9714,76321,5838,7610,34462,7865,2186,3142,18262,1081,15388,5508,15333,10289,1965,3536,5194,4248,8761,2906,15952,9197,16289,1867,1584,565,2686,8391,15021,2740,8659,5734,2150,3447,1474,1669,18800,14474,266,1530,3595,2064,747,2979,1699,4286,17213,15756
"Porphyromonas_catoniae",1090,1086,0,0,0,0,0,0,124,0,8260,0,0,29,0,0,112,0,0,0,0,0,578,0,20,0,0,0,24,0,0,843,0,0,36906,0,0,0,1059,1089,0,0,9771,2105,46,1605,185,1528,3599,4,0,628,0,36428,16706,3151,3926,0,0,7,872,0,11,0,0,1694,0,1118,86,0,0,7646,0,0,704,0,0,0,0,3,2557,49,0,864,0,111,0,0,0,2152,0,8,0,0,0,465,2,12719,1720,1213
"Pseudomonas_aeruginosa",0,0,0,0,0,0,0,314,0,29633,116088,0,0,0,0,0,0,0,0,456,0,0,0,0,1740,0,0,4260,0,81,0,0,3012,31584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,2289,0,0,0,0,0,791,0,5074,0,8574,0,0,0,0,0,0,0,0,0,20383,0,0,0,0,0,0
"Staphylococcus_aureus",0,3313,767,0,0,0,0,0,0,0,1,0,29312,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,17,55364,0,683,0,0,3188,0,33323,0,0,0,0,0,0,0,13654,0,0,0,0,0,33794,0,0,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_epidermidis",162510,0,0,6411,0,0,6347,54268,0,0,0,21029,0,204,0,0,0,49498,63,8709,1,2911,0,44761,0,15154,0,10241,2302,0,1005,12642,0,4568,2495,0,0,0,36,38696,0,7,0,0,0,459,30257,0,8248,17,0,0,33270,38672,59752,0,0,1,0,0,1314,34,20404,0,31951,57,0,1496,0,0,1104,0,0,6223,0,0,61744,229,0,0,0,613,0,0,0,0,0,7006,906,0,0,0,6341,0,2866,4184,124,0,0,0
"Staphylococcus_simiae",0,0,0,0,0,0,0,0,0,0,248,0,0,0,5076,0,0,0,0,0,0,0,16,0,1533,0,17351,0,0,18090,0,0,0,0,0,0,34092,0,0,0,8,36776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,1,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,8229
"Streptococcus_mitis",37504,0,1154,0,11647,15714,1501,10804,24250,0,0,3230,0,31992,0,0,8452,0,0,1195,62812,139,16895,92214,2854,74999,5447,9756,0,0,0,0,33,75,29995,0,0,0,0,157518,286,0,92055,0,33420,0,18395,7981,16939,0,3279,24270,27558,35043,22033,3354,0,7477,0,0,0,42034,13359,775,0,0,0,9241,1891,0,21390,0,28345,16948,22825,0,0,2,15846,98,0,0,315,29644,0,0,0,4850,3036,0,0,1,15669,0,647,15881,26386,46610,33004,1265
"Streptococcus_pneumoniae",0,90863,0,1865,0,0,0,0,2,2901,7226,0,15997,0,34235,79964,1,1521,81,0,0,0,0,0,0,0,0,0,95073,22198,0,49521,0,0,12,9287,0,7277,13225,0,0,7,0,89716,0,24067,0,0,0,1595,0,0,0,0,0,0,8981,0,34160,21098,12338,0,0,0,950,17967,60428,0,0,26148,0,54007,0,0,0,12565,357,29589,0,0,25115,13890,0,0,25856,32200,4260,0,0,30536,21097,3467,0,9573,0,0,5,4,0,2
"Streptococcus_sp.",26186,0,1700,514,0,0,0,4225,0,8234,2,16630,0,0,0,0,1368,12304,29,560,2391,190,27503,0,0,4694,5104,5807,0,0,0,26994,17,81,3,0,1,0,0,8318,0,0,0,0,0,0,7367,0,0,0,17023,0,1838,0,9,134,13023,6781,0,13478,12945,1399,12553,0,211,18,1244,768,7127,3829,10885,0,27328,0,9875,838,53,0,0,0,0,1378,0,585,0,0,0,1148,2369,6,0,13803,9091,132,118,0,8,23,10931,31887
"Veillonella_parvula",1749,379,0,0,0,27,0,710,0,1310,13,31,0,7,0,25,199,466,9,0,11176,214,5010,47,490,1665,45,25,107,0,0,82,0,0,7318,0,10,9,19,9396,0,1411,2727,6420,121,2543,22,765,4861,12,1213,228,1120,7015,20713,255,5577,10629,0,0,22165,0,47,0,0,1836,0,760,1378,0,881,0,0,0,675,631,0,14,0,0,1140,29,13,2402,1114,0,57,33,120,1818,0,398,4593,2,0,17,0,872,7993,17
