"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Acinetobacter_sp.",68,0,709,1671,338,212,1548,0,1220,2467,0,204,0,0,203,75,1,71,250,205,256,0,0,3559,208714,121,25,246,246,90,28,191,1014,782,0,35,7,0,4,24,142,30,0,167,31,8,24,4230,49,0,5,40,59,152,51,41,2061,4784,77,0,0,24,21,4,112,2983,64,3196,0,367,0,35,249,0,0,18,2533,39,15,10203,72,61,54104,54,132,64,0,388,50,28,0,1086,23,2,55,44,0,63,0,84
"Aeromonas_sp.",0,21,0,0,0,0,0,0,2096,0,0,6,0,45,217,13,1229,35,0,0,44,0,516,0,0,0,0,0,0,59,0,13,0,0,0,0,4,23,0,38,1179,4,0,95,0,0,0,133,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3114,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,86
"Alloprevotella_rava",27,409,0,0,0,0,0,0,0,0,3901,0,0,0,0,0,49,0,0,0,0,0,180,0,0,0,0,0,0,0,0,12,0,0,28001,0,0,0,0,0,0,0,5599,0,281,6286,0,2266,4402,0,0,0,0,0,0,907,3168,0,0,161,1008,0,0,0,0,3281,0,0,0,0,0,0,0,0,131,0,0,0,2,16,8597,0,20,0,0,656,0,0,0,1351,0,0,40,0,0,0,0,628,599,0
"Bacillus_cereus",0,0,0,3551,0,0,0,0,0,0,0,0,0,0,9044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0,0,0,0,0,859,0,30,3048,0,0,154,7,0,0,87,0,0,0,12119,0,87,0,0,0,75,3887,19,0,0,0,0,0,0,0,0,31,45,0,0,2225,199,0,0,0,0,21,0,0,0,0,0,0,3456,0,39,0,56,0,279,0,59,0,0,27,0,2255,28,0,1278,102,0,0,8,0,0,0,0,0,12,385,0,0,0,0,0,174,0,30,0,0,42,0,0,0,0,0,0,0
"Citrobacter_freundii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,60399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Corynebacterium_accolens",0,1922,14,0,1587,0,0,33649,2329,237,0,0,4420,3440,2688,43,0,0,437,0,0,0,32,0,0,1,0,0,11618,1914,1905,18162,0,0,3382,1740,0,12,14,0,0,284,0,0,2129,816,0,506,0,0,0,0,0,30345,0,902,6,0,0,0,0,138,8099,0,33392,873,873,2146,0,66463,391,519,0,0,0,320,0,0,0,0,304,268,6112,0,4422,972,5879,63086,1,0,0,113,1303,315,0,577,0,0,8898,4155
"Corynebacterium_pseudodiphtheriticum",0,19,53,0,8758,0,0,0,2153,0,23,0,1374,6314,0,497,263,6136,27,0,7775,0,132,0,0,0,749,0,0,0,0,0,0,0,0,4619,4705,4906,0,0,12,0,5567,2415,830,945,0,190,0,0,0,0,0,0,0,752,1081,0,5312,190,698,0,3090,790,195,962,2059,13,489,21604,0,2947,0,2052,490,958,5019,1264,719,3203,656,2909,14453,1650,0,12752,0,1938,53,370,25,485,3518,225,0,1112,0,1515,0,0
"Corynebacterium_sp.",4472,0,0,0,1,0,7319,0,0,0,0,458,0,0,22,0,0,8368,7,16978,0,0,0,15892,30738,370,2,3649,110,0,0,0,48,187,8,0,729,1,0,13388,0,5,0,9,0,0,31,0,3239,0,2411,22,2279,0,408,0,0,2524,0,0,6,0,6,2207,46,0,0,0,2,3726,0,0,1759,1853,10,1,1164,32,647,0,0,10,280,0,0,3,0,25,1116,3,4860,1,7,27,39,39,19,0,23,258
"Dolosigranulum_pigrum",0,16239,0,0,7286,0,0,0,1351,0,0,0,4586,19104,0,208,3857,9691,171,0,1,0,0,0,0,0,729,0,0,0,0,16677,0,0,0,5122,4443,13140,44,0,0,0,0,1478,211,817,0,4816,0,32,0,0,0,0,0,7490,8086,0,3983,495,0,0,2935,0,1268,335,29,1660,1345,652,62,13980,0,129,14,1118,9044,538,0,5865,0,3362,11689,790,214,0,0,0,0,1977,0,962,0,97,0,121,0,841,2207,0
